dataset,method,chunk_size,max_queries,MRR_A,Recall@1_A,Recall@5_A,Recall@10_A,Recall@100_A,NDCG@1_A,NDCG@5_A,NDCG@10_A,NDCG@100_A,MRR_B,Recall@1_B,Recall@5_B,Recall@10_B,Recall@100_B,NDCG@1_B,NDCG@5_B,NDCG@10_B,NDCG@100_B,delta_MRR,delta_Recall@1,delta_Recall@5,delta_Recall@10,delta_Recall@100,delta_NDCG@1,delta_NDCG@5,delta_NDCG@10,delta_NDCG@100,time_seconds_A,time_seconds_B
arguana,sparse,original,200,0.17554697148826962,0.0,0.38,0.565,0.805,0.0,0.1988277574161204,0.2593271632129822,0.3113998403448087,0.17554697148826962,0.0,0.38,0.565,0.805,0.0,0.1988277574161204,0.2593271632129822,0.3113998403448087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.158,97.406
dbpedia-entity,dense,chunk_128,200,0.7526020755227466,0.007164662616444309,0.027776281361690292,0.046514827564715595,0.1662630037446958,0.3133333333333336,0.260460154365836,0.2529630429246896,0.2928856356214708,0.7526020755227466,0.007164662616444309,0.027776281361690292,0.046514827564715595,0.1662630037446958,0.3133333333333336,0.260460154365836,0.2529630429246896,0.29288578889478717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5327331637227104e-07,10703.504,2033.443
dbpedia-entity,dense,chunk_256,200,0.7537369199428023,0.007195746552725753,0.027901863470102848,0.046735062400870594,0.1674088437845403,0.3133333333333336,0.2607015737325596,0.2534173439177435,0.2935890245127261,0.7537369199428023,0.007195746552725753,0.027901863470102848,0.046735062400870594,0.1674088437845403,0.3133333333333336,0.2607015737325596,0.2534173439177435,0.2935890245127261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10727.631,2013.172
dbpedia-entity,dense,chunk_512,200,0.7537369199428023,0.0071988442464181925,0.027961805537051944,0.04679655432587551,0.16750496119011588,0.3133333333333336,0.26092024886174686,0.2537706024687927,0.2936493474000701,0.7537369199428023,0.0071988442464181925,0.027961805537051944,0.04679655432587551,0.16750496119011588,0.3133333333333336,0.26092024886174686,0.2537706024687927,0.2936495006733865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.532733164277822e-07,10759.017,2035.982
dbpedia-entity,dense,original,200,0.736884130747873,0.006959735296117515,0.026750487513224095,0.0458689384404696,0.1689714014139702,0.29333333333333356,0.2503215738717283,0.24445560851790377,0.29022704230942464,0.736884130747873,0.006959735296117515,0.026750487513224095,0.0458689384404696,0.1689714014139702,0.29333333333333356,0.2503215738717283,0.24445560851790377,0.2902273058916171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.635821924612536e-07,9856.418,1946.854
dbpedia-entity,hybrid,chunk_128,200,0.8251518684803569,0.008217345671348046,0.035254678936164095,0.05959620552054977,0.24187738190885333,0.30333333333333357,0.26705591231337983,0.26169236570901483,0.3227633428427286,0.8251064139349025,0.008217345671348046,0.03517775585924102,0.05954947654858715,0.24199337424748893,0.30333333333333357,0.2668372371841926,0.26166926558874337,0.3227383953448363,4.5454545454459705e-05,0.0,7.692307692307859e-05,4.672897196261738e-05,-0.00011599233863560099,0.0,0.000218675129187218,2.310012027145758e-05,2.4947497892335857e-05,12356.832,4360.159
dbpedia-entity,hybrid,chunk_256,200,0.8252996586746589,0.008253759526189258,0.03537518449864331,0.0598816002050463,0.24279950294871713,0.30333333333333357,0.26724918523740854,0.26190784106504583,0.3227636493780263,0.8259663253413255,0.008253759526189258,0.03545210757556639,0.05984061659848892,0.24280053117438302,0.30333333333333357,0.267393544004944,0.2617494027011448,0.32286369858705044,-0.0006666666666665932,0.0,-7.692307692307859e-05,4.098360655738209e-05,-1.0282256658888933e-06,0.0,-0.0001443587675354352,0.00015843836390105892,-0.00010004920902412229,12394.72,4354.485
dbpedia-entity,hybrid,chunk_512,200,0.8255496586746588,0.008258263087736964,0.03534976360275548,0.059853929216950895,0.24300366688179698,0.30333333333333357,0.26717486887575675,0.2616464407706397,0.3228812943471592,0.8255951132201134,0.008258263087736964,0.03534976360275548,0.05992548809424287,0.24300754886937462,0.30333333333333357,0.26717486887575675,0.26189547172440064,0.32292696760597644,-4.545454545457073e-05,0.0,0.0,-7.155887729197452e-05,-3.88198757764191e-06,0.0,0.0,-0.00024903095376094253,-4.567325881726925e-05,12424.51,4395.948
dbpedia-entity,hybrid,original,200,0.8285072214292416,0.008281397726745859,0.03424562977147006,0.05906152075687961,0.2435822426783945,0.2950000000000002,0.2587472964195319,0.25721466917082114,0.3214633655208084,0.8285072214292416,0.008281397726745859,0.03428109076437787,0.059096981749787406,0.24370416060368633,0.2950000000000002,0.25940332180709363,0.25753795698374304,0.3215932023043463,0.0,0.0,-3.546099290780563e-05,-3.5460992907798694e-05,-0.00012191792529181456,0.0,-0.0006560253875617095,-0.0003232878129219019,-0.00012983678353789552,11455.725,4228.439
dbpedia-entity,sparse,chunk_128,200,0.8128846730224802,0.008117229237530348,0.03554412067341652,0.06041907898752503,0.21708980564328242,0.22666666666666668,0.20433918050462668,0.19643777826236267,0.23880463113516315,0.8120513396891469,0.008117229237530348,0.03554412067341652,0.060394924398153055,0.2169707580242348,0.22666666666666668,0.2048404891382086,0.19655541302844298,0.23882108474896732,0.0008333333333333526,0.0,0.0,2.415458937197329e-05,0.00011904761904762973,0.0,-0.000501308633581915,-0.00011763476608031564,-1.645361380417376e-05,1693.628,2202.265
